disease pair ID,label
Phe_112-Phe_153,1
Phe_112-Phe_153.2,1
Phe_112-Phe_153.3,1
Phe_112-Phe_158,1
Phe_112-Phe_159,1
Phe_112-Phe_165,1
Phe_112-Phe_165.1,1
Phe_112-Phe_172,1
Phe_112-Phe_172.2,1
Phe_112-Phe_174,1
Phe_112-Phe_189,1
Phe_112-Phe_189.11,1
Phe_112-Phe_189.2,1
Phe_112-Phe_189.21,1
Phe_112-Phe_195,1
Phe_112-Phe_195.1,1
Phe_112-Phe_197,1
Phe_112-Phe_198,1
Phe_112-Phe_198.1,1
Phe_112-Phe_198.2,1
Phe_112-Phe_198.3,1
Phe_112-Phe_198.4,1
Phe_112-Phe_198.6,1
Phe_112-Phe_199,1
Phe_112-Phe_202,1
Phe_112-Phe_202.2,1
Phe_112-Phe_204,1
Phe_112-Phe_208,1
Phe_112-Phe_211,1
Phe_112-Phe_214,1
Phe_112-Phe_214.1,1
Phe_112-Phe_215,1
Phe_112-Phe_216,1
Phe_112-Phe_228,1
Phe_112-Phe_229,1
Phe_112-Phe_241,0
Phe_112-Phe_242,1
Phe_112-Phe_244,1
Phe_112-Phe_244.1,1
Phe_112-Phe_244.4,1
Phe_112-Phe_250.1,1
Phe_112-Phe_250.2,1
Phe_112-Phe_250.23,1
Phe_112-Phe_250.7,1
Phe_112-Phe_260,1
Phe_112-Phe_261,1
Phe_112-Phe_272,1
Phe_112-Phe_272.1,1
Phe_112-Phe_272.11,1
Phe_112-Phe_274,1
Phe_112-Phe_274.1,1
Phe_112-Phe_275,1
Phe_112-Phe_275.5,1
Phe_112-Phe_276,1
Phe_112-Phe_276.1,1
Phe_112-Phe_276.12,1
Phe_112-Phe_276.14,1
Phe_112-Phe_276.5,1
Phe_112-Phe_277,1
Phe_112-Phe_278,0
Phe_112-Phe_278.1,1
Phe_112-Phe_280,1
Phe_112-Phe_280.1,1
Phe_112-Phe_281,0
Phe_112-Phe_281.1,0
Phe_112-Phe_285,1
Phe_112-Phe_287,1
Phe_112-Phe_287.3,1
Phe_112-Phe_288,1
Phe_112-Phe_289,1
Phe_112-Phe_289.4,1
Phe_112-Phe_290,1
Phe_112-Phe_292,1
Phe_112-Phe_292.1,1
Phe_112-Phe_292.4,1
Phe_112-Phe_293,1
Phe_112-Phe_296,1
Phe_112-Phe_296.1,1
Phe_112-Phe_296.2,1
Phe_112-Phe_300,1
Phe_112-Phe_300.1,1
Phe_112-Phe_306,1
Phe_112-Phe_317,1
Phe_112-Phe_317.1,1
Phe_112-Phe_318,1
Phe_112-Phe_327,1
Phe_112-Phe_327.3,1
Phe_112-Phe_331,1
Phe_112-Phe_332,1
Phe_112-Phe_334,1
Phe_112-Phe_335,1
Phe_112-Phe_339,1
Phe_112-Phe_340,1
Phe_112-Phe_342,1
Phe_112-Phe_345,1
Phe_112-Phe_345.3,1
Phe_112-Phe_348,1
Phe_112-Phe_350,1
Phe_112-Phe_350.2,1
Phe_112-Phe_351,1
Phe_112-Phe_352,1
Phe_112-Phe_353,1
Phe_112-Phe_357,1
Phe_112-Phe_361,0
Phe_112-Phe_361.1,1
Phe_112-Phe_362,1
Phe_112-Phe_362.2,1
Phe_112-Phe_362.29,1
Phe_112-Phe_365,1
Phe_112-Phe_365.1,1
Phe_112-Phe_365.11,1
Phe_112-Phe_366,1
Phe_112-Phe_366.2,1
Phe_112-Phe_367,1
Phe_112-Phe_367.1,1
Phe_112-Phe_368,1
Phe_112-Phe_371,1
Phe_112-Phe_371.3,1
Phe_112-Phe_374,1
Phe_112-Phe_374.1,1
Phe_112-Phe_374.3,1
Phe_112-Phe_375,1
Phe_112-Phe_378,1
Phe_112-Phe_379,1
Phe_112-Phe_379.2,1
Phe_112-Phe_379.3,1
Phe_112-Phe_380,1
Phe_112-Phe_381,1
Phe_112-Phe_381.1,1
Phe_112-Phe_384,1
Phe_112-Phe_384.4,1
Phe_112-Phe_386,1
Phe_112-Phe_386.9,1
Phe_112-Phe_389,1
Phe_112-Phe_394,1
Phe_112-Phe_394.2,1
Phe_112-Phe_394.3,1
Phe_112-Phe_394.7,1
Phe_112-Phe_395,1
Phe_112-Phe_395.1,1
Phe_112-Phe_395.6,1
Phe_112-Phe_396,1
Phe_112-Phe_401.1,1
Phe_112-Phe_401.2,1
Phe_112-Phe_401.22,1
Phe_112-Phe_402,1
Phe_112-Phe_411.1,1
Phe_112-Phe_411.2,1
Phe_112-Phe_411.3,1
Phe_112-Phe_411.4,1
Phe_112-Phe_411.8,1
Phe_112-Phe_411.9,1
Phe_112-Phe_414,1
Phe_112-Phe_415,1
Phe_112-Phe_416,1
Phe_112-Phe_418,1
Phe_112-Phe_418.1,1
Phe_112-Phe_420,0
Phe_112-Phe_420.2,1
Phe_112-Phe_425,1
Phe_112-Phe_425.1,1
Phe_112-Phe_426,1
Phe_112-Phe_426.2,0
Phe_112-Phe_426.3,1
Phe_112-Phe_426.31,1
Phe_112-Phe_426.32,1
Phe_112-Phe_426.9,1
Phe_112-Phe_426.91,1
Phe_112-Phe_427,1
Phe_112-Phe_427.1,1
Phe_112-Phe_427.11,1
Phe_112-Phe_427.2,1
Phe_112-Phe_427.3,1
Phe_112-Phe_427.4,1
Phe_112-Phe_427.7,1
Phe_112-Phe_427.9,1
Phe_112-Phe_428,1
Phe_112-Phe_428.1,1
Phe_112-Phe_428.2,1
Phe_112-Phe_430,1
Phe_112-Phe_433,1
Phe_112-Phe_433.1,1
Phe_112-Phe_433.2,1
Phe_112-Phe_433.21,1
Phe_112-Phe_433.3,1
Phe_112-Phe_433.31,1
Phe_112-Phe_433.8,1
Phe_112-Phe_440,1
Phe_112-Phe_442,1
Phe_112-Phe_442.1,1
Phe_112-Phe_443,1
Phe_112-Phe_443.1,1
Phe_112-Phe_443.9,1
Phe_112-Phe_447,1
Phe_112-Phe_451,1
Phe_112-Phe_451.2,1
Phe_112-Phe_454,1
Phe_112-Phe_454.1,1
Phe_112-Phe_455,1
Phe_112-Phe_458,1
Phe_112-Phe_458.1,1
Phe_112-Phe_458.9,1
Phe_112-Phe_459,1
Phe_112-Phe_459.9,1
Phe_112-Phe_465,1
Phe_112-Phe_470,1
Phe_112-Phe_471,1
Phe_112-Phe_473,1
Phe_112-Phe_473.4,1
Phe_112-Phe_474,1
Phe_112-Phe_474.2,1
Phe_112-Phe_475,1
Phe_112-Phe_476,1
Phe_112-Phe_477,1
Phe_112-Phe_479,1
Phe_112-Phe_480,1
Phe_112-Phe_480.1,1
Phe_112-Phe_480.11,1
Phe_112-Phe_495,1
Phe_112-Phe_496,1
Phe_112-Phe_496.1,1
Phe_112-Phe_496.2,1
Phe_112-Phe_496.21,1
Phe_112-Phe_496.3,1
Phe_112-Phe_506,1
Phe_112-Phe_507,1
Phe_112-Phe_508,1
Phe_112-Phe_509.1,1
Phe_112-Phe_509.2,1
Phe_112-Phe_512,1
Phe_112-Phe_512.7,1
Phe_112-Phe_512.8,1
Phe_112-Phe_514,1
Phe_112-Phe_516,1
Phe_112-Phe_516.1,1
Phe_112-Phe_519,1
Phe_112-Phe_519.8,1
